source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
aif,200,299,299,299,299,299,,2023-05-25 08:01:11.881306
rg,200,100,100,100,100,0,,2023-05-25 08:01:11.881307
argumenti,200,30,30,30,30,30,,2023-05-25 08:01:11.881309
pravda,200,20,20,20,20,20,,2023-05-25 08:01:11.881310
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 08:01:11.881311
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 08:01:11.881312
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 08:01:11.881314
fontanka,200,30,30,30,30,30,,2023-05-25 08:01:11.881315
rbc,200,30,30,30,30,30,,2023-05-25 08:01:11.881316
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 08:01:11.881317
ria,200,99,0,99,99,99,,2023-05-25 10:01:32.738795
tass,200,100,99,100,100,100,,2023-05-25 10:01:32.738800
rosbalt,200,100,100,100,100,100,,2023-05-25 10:01:32.738801
ura,200,170,170,170,170,0,,2023-05-25 10:01:32.738802
mail,200,20,20,20,20,20,,2023-05-25 10:01:32.738803
regnum,200,100,100,100,100,100,,2023-05-25 10:01:32.738805
izvestia,403,,,,,,,2023-05-25 10:01:32.738806
lenta,200,200,200,200,200,200,,2023-05-25 10:01:32.738807
kp,200,200,200,200,200,200,,2023-05-25 10:01:32.738808
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 10:01:32.738809
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 10:01:32.738810
interfax,200,25,25,25,25,25,,2023-05-25 10:01:32.738811
vedomosti,200,200,200,200,200,188,,2023-05-25 10:01:32.738813
aif,200,300,299,300,300,300,,2023-05-25 10:01:32.738814
rg,200,100,100,100,100,0,,2023-05-25 10:01:32.738815
argumenti,200,30,30,30,30,30,,2023-05-25 10:01:32.738816
pravda,200,20,20,20,20,20,,2023-05-25 10:01:32.738817
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 10:01:32.738818
