title,summary,date,link,type,source,date_parsed
Суд приступит к рассмотрению дела Трампа по существу 25 марта 2024 года,"Судья Хуан Мерчан разъяснил экс-президенту США положения о недопустимости публичных высказываний, связанных с делом, в том числе в социальных сетях",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825415,Международная панорама,tass,2023-05-23 23:53:39.827217
Швейцария и НАТО протестировали технические средства обнаружения снайперов,"Специалисты выявляли снайперов с помощью микрофонов, видеокамер и сейсмодатчиков, а в поиске беспилотников они задействовали высокочастотные устройства",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825409,Международная панорама,tass,2023-05-23 23:53:39.827218
"Байден был в Белом доме в день, когда фургон врезался в ограждения рядом","Пресс-секретарь Белого дома Карин Жан-Пьер сообщила, что президента проинформировали о случившемся",2023-5-23,https://tass.ru/obschestvo/17825401,Общество,tass,2023-05-23 23:53:39.827219
Губернатор Флориды объявит об участии в президентских выборах в США 24 мая,"Как ожидается, Рон Десантис сделает соответствующее заявление во время беседы с Илоном Маском",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825273,Международная панорама,tass,2023-05-23 23:53:39.827221
В Омске вновь ввели режим неблагоприятных метеоусловий,Прошедшей ночью в городе было зафиксировано семикратное превышение нормы содержания сероводорода,2023-5-23,https://tass.ru/proisshestviya/17825381,Происшествия,tass,2023-05-23 23:53:39.827222
"Пентагон заявил, что F-16 не будут использоваться при украинском контрнаступлении","Дело касается долгосрочной поддержки Киева, отметили в Вашингтоне",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825387,Международная панорама,tass,2023-05-23 23:53:39.827223
В Ленобласти после падения футбольных ворот на ребенка возбудили уголовное дело,Здоровью мальчика был причинен тяжкий вред,2023-5-23,https://tass.ru/proisshestviya/17825367,Происшествия,tass,2023-05-23 23:53:39.827224
Прокуратура на Украине начала судопроизводство из-за якобы депортации детей в Белоруссию,"Разбирательство касается ""насильственной перевозки/депортации более 19 тыс. детей"" из различных городов, включая Донецк, Запорожье, Луганск, Харьков и Херсон",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825321,Международная панорама,tass,2023-05-23 23:53:39.827225
"Новейший атомный ледокол ""Сибирь"" впервые выполнил противозаторные работы на реке Енисей",Экипаж атомохода выполнил задачу по созданию дополнительных ледовых каналов и прорезей в русле реки для предотвращения возможных ледовых заторов,2023-5-23,https://tass.ru/ekonomika/17825339,Экономика и бизнес,tass,2023-05-23 23:53:39.827226
В Ленобласти в результате падения мотопараплана погибли два человека,Организована проверка,2023-5-23,https://tass.ru/proisshestviya/17825287,Происшествия,tass,2023-05-23 23:53:39.827227
"AFP: полиция задержала отключивших газ на набережной в Канне, где проходит кинофестиваль","Ответственность за эту акцию взял на себя французский профсоюз ""Всеобщая конфедерация труда""",2023-5-23,https://tass.ru/obschestvo/17825361,Общество,tass,2023-05-23 23:53:39.827229
"В Заполярье открыли первый Центр славянских культур ""Глаголь Добро""","Планируется, что здесь будет накапливаться опыт Мурманской области в сохранении и популяризации славянских культур, сообщил председатель регионального отделения Союза писателей России Илья Виноградов",2023-5-23,https://tass.ru/obschestvo/17825279,Общество,tass,2023-05-23 23:53:39.827230
В Коми возбудили уголовное дело по факту гибели двух человек,Еще четверо пострадали в результате происшествия,2023-5-23,https://tass.ru/proisshestviya/17825193,Происшествия,tass,2023-05-23 23:53:39.827231
Обучение украинских военных управлению F-16 будет проходить в Европе,"Пресс-секретарь Пентагона Патрик Райдер сообщил, что Вашингтон продолжает обсуждать с партнерами сроки поставок Киеву этих истребителей",2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825349,Международная панорама,tass,2023-05-23 23:53:39.827232
В предгорье Адыгеи один человек пострадал от крупного града,"Непогода нанесла ущерб домовладениям, автомобилям и сельхозкультурам",2023-5-23,https://tass.ru/proisshestviya/17825177,Происшествия,tass,2023-05-23 23:53:39.827233
Экоактивисты облили краской штаб-квартиру СДПГ после критики со стороны Шольца,"Канцлер ФРГ ранее раскритиковал радикальные акции экологических активистов, заявив, что их действия не помогут привлечь больше сторонников",2023-5-23,https://tass.ru/obschestvo/17825313,Общество,tass,2023-05-23 23:53:39.827234
